,airport_id,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TzDatabase,Type,Source
1471,1511,Pantelleria Airport,Pantelleria,Italy,PNL,LICG,36.816502,11.9689,628,1,E,Europe/Rome,airport,OurAirports
1472,1512,Falcone–Borsellino Airport,Palermo,Italy,PMO,LICJ,38.175999,13.091,65,1,E,Europe/Rome,airport,OurAirports
1474,1514,Reggio Calabria Airport,Reggio Calabria,Italy,REG,LICR,38.071201,15.6516,96,1,E,Europe/Rome,airport,OurAirports
1475,1515,Vincenzo Florio Airport Trapani-Birgi,Trapani,Italy,TPS,LICT,37.9114,12.488,25,1,E,Europe/Rome,airport,OurAirports
1477,1517,Alghero-Fertilia Airport,Alghero,Italy,AHO,LIEA,40.632099,8.29077,87,1,E,Europe/Rome,airport,OurAirports
1479,1519,Cagliari Elmas Airport,Cagliari,Italy,CAG,LIEE,39.251499,9.05428,13,1,E,Europe/Rome,airport,OurAirports
1480,1520,Olbia Costa Smeralda Airport,Olbia,Italy,OLB,LIEO,40.898701,9.51763,37,1,E,Europe/Rome,airport,OurAirports
1484,1524,Malpensa International Airport,Milano,Italy,MXP,LIMC,45.6306,8.728110000000001,768,1,E,Europe/Rome,airport,OurAirports
1485,1525,Il Caravaggio International Airport,Bergamo,Italy,BGY,LIME,45.673901,9.70417,782,1,E,Europe/Rome,airport,OurAirports
1486,1526,Turin Airport,Torino,Italy,TRN,LIMF,45.200802,7.64963,989,1,E,Europe/Rome,airport,OurAirports
1488,1528,Genoa Cristoforo Colombo Airport,Genoa,Italy,GOA,LIMJ,44.4133,8.8375,13,1,E,Europe/Rome,airport,OurAirports
1489,1529,Milano Linate Airport,Milan,Italy,LIN,LIML,45.445099,9.27674,353,1,E,Europe/Rome,airport,OurAirports
1491,1531,Parma Airport,Parma,Italy,PMF,LIMP,44.824501,10.2964,161,1,E,Europe/Rome,airport,OurAirports
1493,1534,Cuneo International Airport,Cuneo,Italy,CUF,LIMZ,44.547001,7.62322,1267,1,E,Europe/Rome,airport,OurAirports
1495,1536,Bolzano Airport,Bolzano,Italy,BZO,LIPB,46.460201,11.3264,789,1,E,Europe/Rome,airport,OurAirports
1497,1538,Bologna Guglielmo Marconi Airport,Bologna,Italy,BLQ,LIPE,44.5354,11.2887,123,1,E,Europe/Rome,airport,OurAirports
1498,1539,Treviso-Sant'Angelo Airport,Treviso,Italy,TSF,LIPH,45.648399,12.1944,59,1,E,Europe/Rome,airport,OurAirports
1504,1545,Trieste–Friuli Venezia Giulia Airport,Ronchi De Legionari,Italy,TRS,LIPQ,45.827498999999996,13.4722,39,1,E,Europe/Rome,airport,OurAirports
1505,1546,Federico Fellini International Airport,Rimini,Italy,RMI,LIPR,44.020302,12.6117,40,1,E,Europe/Rome,airport,OurAirports
1509,1550,Verona Villafranca Airport,Villafranca,Italy,VRN,LIPX,45.395699,10.8885,239,1,E,Europe/Rome,airport,OurAirports
1510,1551,Venice Marco Polo Airport,Venice,Italy,VCE,LIPZ,45.505299,12.3519,7,1,E,Europe/Rome,airport,OurAirports
1512,1553,Ciampino–G. B. Pastine International Airport,Rome,Italy,CIA,LIRA,41.7994,12.5949,427,1,E,Europe/Rome,airport,OurAirports
1514,1555,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,FCO,LIRF,41.800277799999996,12.238888900000001,13,1,E,Europe/Rome,airport,OurAirports
1516,1558,Marina Di Campo Airport,Marina Di Campo,Italy,EBA,LIRJ,42.7603,10.2394,31,1,E,Europe/Rome,airport,OurAirports
1519,1561,Naples International Airport,Naples,Italy,NAP,LIRN,40.886002000000005,14.2908,294,1,E,Europe/Rome,airport,OurAirports
1520,1562,Pisa International Airport,Pisa,Italy,PSA,LIRP,43.683899,10.3927,6,1,E,Europe/Rome,airport,OurAirports
1521,1563,Peretola Airport,Florence,Italy,FLR,LIRQ,43.810001,11.2051,142,1,E,Europe/Rome,airport,OurAirports
1525,1567,Perugia San Francesco d'Assisi – Umbria International Airport,Perugia,Italy,PEG,LIRZ,43.095901,12.5132,697,1,E,Europe/Rome,airport,OurAirports
1527,1569,Ljubljana Jože Pučnik Airport,Ljubljana,Slovenia,LJU,LJLJ,46.223701,14.4576,1273,1,E,Europe/Ljubljana,airport,OurAirports
1537,1579,Karlovy Vary International Airport,Karlovy Vary,Czech Republic,KLV,LKKV,50.20299911499024,12.914999961853027,1989,1,E,Europe/Prague,airport,OurAirports
1540,1582,Ostrava Leos Janáček Airport,Ostrava,Czech Republic,OSR,LKMT,49.6963005065918,18.111099243164066,844,1,E,Europe/Prague,airport,OurAirports
1542,1584,Pardubice Airport,Pardubice,Czech Republic,PED,LKPD,50.01340103149414,15.73859977722168,741,1,E,Europe/Prague,airport,OurAirports
1545,1587,Václav Havel Airport Prague,Prague,Czech Republic,PRG,LKPR,50.1008,14.26,1247,1,E,Europe/Prague,airport,OurAirports
1546,1588,Brno-Tuřany Airport,Brno,Czech Republic,BRQ,LKTB,49.15129852294922,16.694400787353516,778,1,E,Europe/Prague,airport,OurAirports
1548,1590,Ben Gurion International Airport,Tel-aviv,Israel,TLV,LLBG,32.011398315429695,34.88669967651367,135,2,E,Asia/Jerusalem,airport,OurAirports
1552,1594,Eilat Airport,Elat,Israel,ETH,LLET,29.56130027770996,34.960098266601555,42,2,E,Asia/Jerusalem,airport,OurAirports
1554,1596,Haifa International Airport,Haifa,Israel,HFA,LLHA,32.809398651123054,35.04309844970703,28,2,E,Asia/Jerusalem,airport,OurAirports
1560,1602,Ovda International Airport,Ovda,Israel,VDA,LLOV,29.94029998779297,34.93579864501953,1492,2,E,Asia/Jerusalem,airport,OurAirports
1563,1605,Sde Dov Airport,Tel-aviv,Israel,SDV,LLSD,32.114700317382805,34.78219985961914,43,2,E,Asia/Jerusalem,airport,OurAirports
1564,1606,Malta International Airport,Malta,Malta,MLA,LMML,35.857498,14.4775,300,1,E,Europe/Malta,airport,OurAirports
1567,1609,Graz Airport,Graz,Austria,GRZ,LOWG,46.9911003112793,15.439599990844727,1115,1,E,Europe/Vienna,airport,OurAirports
1568,1610,Innsbruck Airport,Innsbruck,Austria,INN,LOWI,47.260201,11.344000000000001,1907,1,E,Europe/Vienna,airport,OurAirports
1569,1611,Linz Hörsching Airport,Linz,Austria,LNZ,LOWL,48.2332,14.1875,980,1,E,Europe/Vienna,airport,OurAirports
1570,1612,Salzburg Airport,Salzburg,Austria,SZG,LOWS,47.793300628699996,13.0043001175,1411,1,E,Europe/Vienna,airport,OurAirports
1571,1613,Vienna International Airport,Vienna,Austria,VIE,LOWW,48.110298156738004,16.569700241089002,600,1,E,Europe/Vienna,airport,OurAirports
1574,1617,Santa Maria Airport,Santa Maria (island),Portugal,SMA,LPAZ,36.97140121459961,-25.17060089111328,308,-1,E,Atlantic/Azores,airport,OurAirports
1582,1625,Flores Airport,Flores,Portugal,FLW,LPFL,39.455299377441406,-31.13139915466309,112,-1,E,Atlantic/Azores,airport,OurAirports
1583,1626,Faro Airport,Faro,Portugal,FAO,LPFR,37.014400482199996,-7.965909957889999,24,0,E,Europe/Lisbon,airport,OurAirports
1584,1627,Graciosa Airport,Graciosa Island,Portugal,GRW,LPGR,39.092201232910156,-28.029800415039066,86,-1,E,Atlantic/Azores,airport,OurAirports
1585,1628,Horta Airport,Horta,Portugal,HOR,LPHR,38.51990127563477,-28.715900421142575,118,-1,E,Atlantic/Azores,airport,OurAirports
1586,1629,Lajes Airport,Lajes (terceira Island),Portugal,TER,LPLA,38.761798999999996,-27.090799,180,-1,E,Atlantic/Azores,airport,OurAirports
1590,1633,João Paulo II Airport,Ponta Delgada,Portugal,PDL,LPPD,37.7411994934,-25.6979007721,259,-1,E,Atlantic/Azores,airport,OurAirports
1591,1634,Pico Airport,Pico,Portugal,PIX,LPPI,38.554297999999996,-28.441299,109,-1,E,Atlantic/Azores,airport,OurAirports
1593,1636,Francisco de Sá Carneiro Airport,Porto,Portugal,OPO,LPPR,41.248100280799996,-8.68138980865,228,0,E,Europe/Lisbon,airport,OurAirports
1594,1637,Porto Santo Airport,Porto Santo,Portugal,PXO,LPPS,33.073398590100005,-16.3500003815,341,0,E,Europe/Lisbon,airport,OurAirports
1595,1638,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,Portugal,LIS,LPPT,38.7813,-9.13592,374,0,E,Europe/Lisbon,airport,OurAirports
1596,1639,São Jorge Airport,Sao Jorge Island,Portugal,SJZ,LPSJ,38.66550064086914,-28.175800323486328,311,-1,E,Atlantic/Azores,airport,OurAirports
1601,1645,Mostar International Airport,Mostar,Bosnia and Herzegovina,OMO,LQMO,43.282901763916016,17.84589958190918,156,1,E,Europe/Sarajevo,airport,OurAirports
1602,1646,Sarajevo International Airport,Sarajevo,Bosnia and Herzegovina,SJJ,LQSA,43.82460021972656,18.331499099731445,1708,1,E,Europe/Sarajevo,airport,OurAirports
1603,1647,Arad International Airport,Arad,Romania,ARW,LRAR,46.17660140991211,21.261999130249023,352,2,E,Europe/Bucharest,airport,OurAirports
1605,1649,Tautii Magheraus Airport,Baia Mare,Romania,BAY,LRBM,47.65840148925781,23.46999931335449,605,2,E,Europe/Bucharest,airport,OurAirports
1607,1651,Mihail Kogălniceanu International Airport,Constanta,Romania,CND,LRCK,44.36220169067383,28.488300323486328,353,2,E,Europe/Bucharest,airport,OurAirports
1608,1652,Cluj-Napoca International Airport,Cluj-napoca,Romania,CLJ,LRCL,46.78519821166992,23.686199188232425,1036,2,E,Europe/Bucharest,airport,OurAirports
1610,1654,Craiova Airport,Craiova,Romania,CRA,LRCV,44.31809997558594,23.888599395751953,626,2,E,Europe/Bucharest,airport,OurAirports
1611,1655,Iaşi Airport,Iasi,Romania,IAS,LRIA,47.17850112915039,27.6205997467041,397,2,E,Europe/Bucharest,airport,OurAirports
1612,1656,Oradea International Airport,Oradea,Romania,OMR,LROD,47.02529907226562,21.90250015258789,465,2,E,Europe/Bucharest,airport,OurAirports
1613,1657,Henri Coandă International Airport,Bucharest,Romania,OTP,LROP,44.5711111,26.085,314,2,E,Europe/Bucharest,airport,OurAirports
1614,1658,Sibiu International Airport,Sibiu,Romania,SBZ,LRSB,45.78559875488281,24.09129905700684,1496,2,E,Europe/Bucharest,airport,OurAirports
1615,1659,Satu Mare Airport,Satu Mare,Romania,SUJ,LRSM,47.70330047607422,22.885700225830078,405,2,E,Europe/Bucharest,airport,OurAirports
1618,1662,Transilvania Târgu Mureş International Airport,Tirgu Mures,Romania,TGM,LRTM,46.46770095825195,24.41250038146973,963,2,E,Europe/Bucharest,airport,OurAirports
1619,1663,Timişoara Traian Vuia Airport,Timisoara,Romania,TSR,LRTR,45.80989837646485,21.337900161743164,348,2,E,Europe/Bucharest,airport,OurAirports
1621,1665,Geneva Cointrin International Airport,Geneva,Switzerland,GVA,LSGG,46.23809814453125,6.108950138092041,1411,1,E,Europe/Paris,airport,OurAirports
1630,1675,Lugano Airport,Lugano,Switzerland,LUG,LSZA,46.00429916379999,8.9105796814,915,1,E,Europe/Zurich,airport,OurAirports
1631,1676,Bern Belp Airport,Bern,Switzerland,BRN,LSZB,46.914100647,7.4971499443099985,1674,1,E,Europe/Zurich,airport,OurAirports
1633,1678,Zürich Airport,Zurich,Switzerland,ZRH,LSZH,47.464698999999996,8.54917,1416,1,E,Europe/Zurich,airport,OurAirports
1634,1679,St Gallen Altenrhein Airport,Altenrhein,Switzerland,ACH,LSZR,47.4850006104,9.560770034789998,1306,1,E,Europe/Zurich,airport,OurAirports
1637,1682,Esenboğa International Airport,Ankara,Turkey,ESB,LTAC,40.128101348899996,32.995098114,3125,3,E,Europe/Istanbul,airport,OurAirports
1640,1685,Adana Airport,Adana,Turkey,ADA,LTAF,36.982200622600004,35.2803993225,65,3,E,Europe/Istanbul,airport,OurAirports
1643,1688,Antalya International Airport,Antalya,Turkey,AYT,LTAI,36.898701,30.800501,177,3,E,Europe/Istanbul,airport,OurAirports
1644,1689,Gaziantep International Airport,Gaziantep,Turkey,GZT,LTAJ,36.9472007751,37.4786987305,2315,3,E,Europe/Istanbul,airport,OurAirports
1646,1691,Konya Airport,Konya,Turkey,KYA,LTAN,37.979,32.561901,3392,3,E,Europe/Istanbul,airport,OurAirports
1648,1693,Amasya Merzifon Airport,Merzifon,Turkey,MZH,LTAP,40.829399,35.521999,1758,3,E,Europe/Istanbul,airport,OurAirports
1649,1694,Sivas Nuri Demirağ Airport,Sivas,Turkey,VAS,LTAR,39.813801,36.9035,5239,3,E,Europe/Istanbul,airport,OurAirports
1650,1695,Malatya Erhaç Airport,Malatya,Turkey,MLX,LTAT,38.435298919699996,38.0909996033,2828,3,E,Europe/Istanbul,airport,OurAirports
1651,1696,Kayseri Erkilet Airport,Kayseri,Turkey,ASR,LTAU,38.770401000999996,35.4953994751,3463,3,E,Europe/Istanbul,airport,OurAirports
1654,1699,Çardak Airport,Denizli,Turkey,DNZ,LTAY,37.7855987549,29.701299667399997,2795,3,E,Europe/Istanbul,airport,OurAirports
1659,1706,Adnan Menderes International Airport,Izmir,Turkey,ADB,LTBJ,38.292400360100004,27.156999588,412,3,E,Europe/Istanbul,airport,OurAirports
1665,1713,Cengiz Topel Airport,Topel,Turkey,KCO,LTBQ,40.73500061035156,30.08329963684082,182,3,E,Europe/Istanbul,airport,OurAirports
1666,1715,Dalaman International Airport,Dalaman,Turkey,DLM,LTBS,36.7131004333,28.792499542199998,20,3,E,Europe/Istanbul,airport,OurAirports
1670,1721,Elazığ Airport,Elazig,Turkey,EZS,LTCA,38.606899261500004,39.291400909400004,2927,3,E,Europe/Istanbul,airport,OurAirports
1671,1722,Diyarbakir Airport,Diyabakir,Turkey,DIY,LTCC,37.893901825,40.201000213600004,2251,3,E,Europe/Istanbul,airport,OurAirports
1672,1723,Erzincan Airport,Erzincan,Turkey,ERC,LTCD,39.7102012634,39.5270004272,3783,3,E,Europe/Istanbul,airport,OurAirports
1673,1724,Erzurum International Airport,Erzurum,Turkey,ERZ,LTCE,39.9565010071,41.17020034789999,5763,3,E,Europe/Istanbul,airport,OurAirports
1674,1726,Trabzon International Airport,Trabzon,Turkey,TZX,LTCG,40.99509811401367,39.78969955444336,104,3,E,Europe/Istanbul,airport,OurAirports
1675,1728,Van Ferit Melen Airport,Van,Turkey,VAN,LTCI,38.46820068359375,43.332298278808594,5480,3,E,Europe/Istanbul,airport,OurAirports
1676,1729,Batman Airport,Batman,Turkey,BAL,LTCJ,37.929000854499996,41.1166000366,1822,3,E,Europe/Istanbul,airport,OurAirports
1681,1735,Chişinău International Airport,Chisinau,Moldova,KIV,LUKK,46.92770004272461,28.93099975585937,399,2,E,Europe/Chisinau,airport,OurAirports
1683,1737,Skopje Alexander the Great Airport,Skopje,Macedonia,SKP,LWSK,41.961601,21.621401000000002,781,1,E,Europe/Skopje,airport,OurAirports
1684,1738,Gibraltar Airport,Gibraltar,Gibraltar,GIB,LXGB,36.1511993408,-5.3496599197400005,15,1,N,Europe/Gibraltar,airport,OurAirports
1685,1739,Belgrade Nikola Tesla Airport,Belgrade,Serbia,BEG,LYBE,44.8184013367,20.3090991974,335,1,E,Europe/Belgrade,airport,OurAirports
1687,1741,Podgorica Airport,Podgorica,Montenegro,TGD,LYPG,42.359402,19.2519,141,1,E,Europe/Podgorica,airport,OurAirports
1688,1742,Priština International Airport,Pristina,Serbia,PRN,BKPR,42.5728,21.035801,1789,1,E,Europe/Belgrade,airport,OurAirports
1689,1743,Tivat Airport,Tivat,Montenegro,TIV,LYTV,42.404701232910156,18.72330093383789,20,1,E,Europe/Podgorica,airport,OurAirports
1691,1745,M. R. Štefánik Airport,Bratislava,Slovakia,BTS,LZIB,48.17020034790039,17.212699890136722,436,1,E,Europe/Bratislava,airport,OurAirports
1692,1746,Košice Airport,Kosice,Slovakia,KSC,LZKZ,48.66310119628906,21.241100311279297,755,1,E,Europe/Bratislava,airport,OurAirports
1699,1754,Providenciales Airport,Providenciales,Turks and Caicos Islands,PLS,MBPV,21.77359962463379,-72.26589965820312,15,-4,U,America/Grand_Turk,airport,OurAirports
1700,1755,South Caicos Airport,South Caicos,Turks and Caicos Islands,XSC,MBSC,21.515699386599998,-71.528503418,6,-4,U,America/Grand_Turk,airport,OurAirports
1704,1759,Casa De Campo International Airport,La Romana,Dominican Republic,LRM,MDLR,18.45070075988769,-68.91179656982422,240,-4,U,America/Santo_Domingo,airport,OurAirports
1705,1760,Punta Cana International Airport,Punta Cana,Dominican Republic,PUJ,MDPC,18.567399978599997,-68.36340332030001,47,-4,U,America/Santo_Domingo,airport,OurAirports
1706,1761,Gregorio Luperon International Airport,Puerto Plata,Dominican Republic,POP,MDPP,19.75790023803711,-70.56999969482422,15,-4,U,America/Santo_Domingo,airport,OurAirports
1707,1762,Las Américas International Airport,Santo Domingo,Dominican Republic,SDQ,MDSD,18.42970085144,-69.668899536133,59,-4,U,America/Santo_Domingo,airport,OurAirports
1709,1764,Cibao International Airport,Santiago,Dominican Republic,STI,MDST,19.406099319458008,-70.60469818115234,565,-4,U,America/Santo_Domingo,airport,OurAirports
1712,1767,La Aurora Airport,Guatemala City,Guatemala,GUA,MGGT,14.5833,-90.527496,4952,-6,U,America/Guatemala,airport,OurAirports
1715,1771,Goloson International Airport,La Ceiba,Honduras,LCE,MHLC,15.7425,-86.852997,39,-6,U,America/Tegucigalpa,airport,OurAirports
1716,1772,Ramón Villeda Morales International Airport,San Pedro Sula,Honduras,SAP,MHLM,15.4526,-87.923599,91,-6,U,America/Tegucigalpa,airport,OurAirports
1717,1773,La Laguna Airport,Guanaja,Honduras,GJA,MHNJ,16.4454,-85.906601,49,-6,U,America/Tegucigalpa,airport,OurAirports
1718,1774,Juan Manuel Galvez International Airport,Roatan,Honduras,RTB,MHRO,16.316799,-86.523003,39,-6,U,America/Tegucigalpa,airport,OurAirports
1720,1776,Toncontín International Airport,Tegucigalpa,Honduras,TGU,MHTG,14.06089973449707,-87.21720123291016,3294,-6,U,America/Tegucigalpa,airport,OurAirports
1723,1779,Norman Manley International Airport,Kingston,Jamaica,KIN,MKJP,17.935699462890625,-76.7874984741211,10,-5,U,America/Jamaica,airport,OurAirports
1724,1780,Sangster International Airport,Montego Bay,Jamaica,MBJ,MKJS,18.503700256347656,-77.91339874267578,4,-5,U,America/Jamaica,airport,OurAirports
1727,1783,General Juan N Alvarez International Airport,Acapulco,Mexico,ACA,MMAA,16.757099151611328,-99.75399780273438,16,-6,S,America/Mexico_City,airport,OurAirports
1729,1785,Jesús Terán Paredo International Airport,Aguascalientes,Mexico,AGU,MMAS,21.705601,-102.318001,6112,-6,S,America/Mexico_City,airport,OurAirports
1730,1786,Bahías de Huatulco International Airport,Huatulco,Mexico,HUX,MMBT,15.7753,-96.26260400000001,464,-6,S,America/Mexico_City,airport,OurAirports
1733,1789,Ciudad del Carmen International Airport,Ciudad Del Carmen,Mexico,CME,MMCE,18.65369987487793,-91.79900360107422,10,-6,S,America/Mexico_City,airport,OurAirports
1736,1792,Bachigualato Federal International Airport,Culiacan,Mexico,CUL,MMCL,24.764499664299997,-107.474998474,108,-7,S,America/Mazatlan,airport,OurAirports
1737,1793,Chetumal International Airport,Chetumal,Mexico,CTM,MMCM,18.50469970703125,-88.32679748535156,39,-5,S,America/Cancun,airport,OurAirports
1738,1794,Ciudad Obregón International Airport,Ciudad Obregon,Mexico,CEN,MMCN,27.39259910583496,-109.83300018310548,243,-7,S,America/Hermosillo,airport,OurAirports
1739,1795,Ingeniero Alberto Acuña Ongay International Airport,Campeche,Mexico,CPE,MMCP,19.816799163800003,-90.50029754639999,34,-6,S,America/Mexico_City,airport,OurAirports
1740,1796,Abraham González International Airport,Ciudad Juarez,Mexico,CJS,MMCS,31.63610076904297,-106.4290008544922,3904,-7,S,America/Mazatlan,airport,OurAirports
1741,1797,General Roberto Fierro Villalobos International Airport,Chihuahua,Mexico,CUU,MMCU,28.702899932900003,-105.96499633799999,4462,-7,S,America/Mazatlan,airport,OurAirports
1742,1798,General Pedro Jose Mendez International Airport,Ciudad Victoria,Mexico,CVM,MMCV,23.7033004761,-98.9564971924,761,-6,S,America/Mexico_City,airport,OurAirports
1743,1800,Cozumel International Airport,Cozumel,Mexico,CZM,MMCZ,20.52239990234375,-86.92559814453125,15,-5,S,America/Cancun,airport,OurAirports
1744,1801,General Guadalupe Victoria International Airport,Durango,Mexico,DGO,MMDO,24.1242008209,-104.52799987799999,6104,-6,S,America/Mexico_City,airport,OurAirports
1745,1802,Amado Nervo National Airport,Tepic,Mexico,TPQ,MMEP,21.4195,-104.843002,3020,-7,S,America/Mazatlan,airport,OurAirports
1747,1804,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,Mexico,GDL,MMGL,20.521799087524414,-103.31099700927734,5016,-6,S,America/Mexico_City,airport,OurAirports
1750,1807,General Ignacio P. Garcia International Airport,Hermosillo,Mexico,HMO,MMHO,29.095899581900007,-111.047996521,627,-7,S,America/Hermosillo,airport,OurAirports
1751,1808,Licenciado Miguel de la Madrid Airport,Colima,Mexico,CLQ,MMIA,19.277,-103.57700200000001,2467,-6,S,America/Mexico_City,airport,OurAirports
1753,1810,Plan De Guadalupe International Airport,Saltillo,Mexico,SLW,MMIO,25.54949951171875,-100.9290008544922,4778,-6,S,America/Mexico_City,airport,OurAirports
1755,1813,Lázaro Cárdenas Airport,Lazard Cardenas,Mexico,LZC,MMLC,18.0016994476,-102.221000671,39,-6,S,America/Mexico_City,airport,OurAirports
1756,1814,Valle del Fuerte International Airport,Los Mochis,Mexico,LMM,MMLM,25.6851997375,-109.081001282,16,-7,S,America/Mazatlan,airport,OurAirports
1757,1815,Del Bajío International Airport,Del Bajio,Mexico,BJX,MMLO,20.9935,-101.481003,5956,-6,S,America/Mexico_City,airport,OurAirports
1758,1816,Manuel Márquez de León International Airport,La Paz,Mexico,LAP,MMLP,24.0727005005,-110.36199951200001,69,-7,S,America/Mazatlan,airport,OurAirports
1759,1817,Loreto International Airport,Loreto,Mexico,LTO,MMLT,25.989200592041016,-111.3479995727539,34,-7,S,America/Mazatlan,airport,OurAirports
1760,1818,General Servando Canales International Airport,Matamoros,Mexico,MAM,MMMA,25.7698993683,-97.5252990723,25,-6,S,America/Mexico_City,airport,OurAirports
1761,1819,Licenciado Manuel Crescencio Rejon Int Airport,Merida,Mexico,MID,MMMD,20.9370002747,-89.657699585,38,-6,S,America/Mexico_City,airport,OurAirports
1762,1820,General Rodolfo Sánchez Taboada International Airport,Mexicali,Mexico,MXL,MMML,32.6306,-115.241997,74,-8,S,America/Tijuana,airport,OurAirports
1763,1821,General Francisco J. Mujica International Airport,Morelia,Mexico,MLM,MMMM,19.849899292,-101.025001526,6033,-6,S,America/Mexico_City,airport,OurAirports
1764,1822,Minatitlán/Coatzacoalcos National Airport,Minatitlan,Mexico,MTT,MMMT,18.1033992767,-94.58070373540001,36,-6,S,America/Mexico_City,airport,OurAirports
1766,1824,Licenciado Benito Juarez International Airport,Mexico City,Mexico,MEX,MMMX,19.4363,-99.072098,7316,-6,S,America/Mexico_City,airport,OurAirports
1767,1825,General Mariano Escobedo International Airport,Monterrey,Mexico,MTY,MMMY,25.7784996033,-100.107002258,1278,-6,S,America/Mexico_City,airport,OurAirports
1768,1826,General Rafael Buelna International Airport,Mazatlan,Mexico,MZT,MMMZ,23.1613998413,-106.26599884,38,-7,S,America/Mazatlan,airport,OurAirports
1770,1828,Quetzalcóatl International Airport,Nuevo Laredo,Mexico,NLD,MMNL,27.4438991547,-99.5705032349,484,-6,S,America/Mexico_City,airport,OurAirports
1771,1829,Xoxocotlán International Airport,Oaxaca,Mexico,OAX,MMOX,16.9999008179,-96.72660064700001,4989,-6,S,America/Mexico_City,airport,OurAirports
1772,1830,El Tajín National Airport,Poza Rico,Mexico,PAZ,MMPA,20.6026992798,-97.4608001709,497,-6,S,America/Mexico_City,airport,OurAirports
1773,1831,Hermanos Serdán International Airport,Puebla,Mexico,PBC,MMPB,19.1581001282,-98.3713989258,7361,-6,S,America/Mexico_City,airport,OurAirports
1776,1834,Piedras Negras International Airport,Piedras Negras,Mexico,PDS,MMPG,28.627399,-100.535004,901,-6,S,America/Mexico_City,airport,OurAirports
1777,1835,Licenciado y General Ignacio Lopez Rayon Airport,Uruapan,Mexico,UPN,MMPN,19.396699905395508,-102.03900146484376,5258,-6,S,America/Mexico_City,airport,OurAirports
1778,1836,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,Mexico,PVR,MMPR,20.680099487304688,-105.25399780273438,23,-6,S,America/Mexico_City,airport,OurAirports
1779,1837,Puerto Escondido International Airport,Puerto Escondido,Mexico,PXM,MMPS,15.8769,-97.08910300000001,294,-6,S,America/Mexico_City,airport,OurAirports
1780,1838,Querétaro Intercontinental Airport,Queretaro,Mexico,QRO,MMQT,20.6173,-100.185997,6296,-6,S,America/Mexico_City,airport,OurAirports
1781,1839,General Lucio Blanco International Airport,Reynosa,Mexico,REX,MMRX,26.0089,-98.2285,139,-6,S,America/Mexico_City,airport,OurAirports
1782,1840,Los Cabos International Airport,San Jose Del Cabo,Mexico,SJD,MMSD,23.15180015563965,-109.72100067138672,374,-7,S,America/Mazatlan,airport,OurAirports
1784,1842,Ponciano Arriaga International Airport,San Luis Potosi,Mexico,SLP,MMSP,22.254299163800006,-100.930999756,6035,-6,S,America/Mexico_City,airport,OurAirports
1787,1845,Francisco Sarabia International Airport,Torreon,Mexico,TRC,MMTC,25.568300247199996,-103.41100311299999,3688,-6,S,America/Mexico_City,airport,OurAirports
1788,1846,Angel Albino Corzo International Airport,Tuxtla Gutierrez,Mexico,TGZ,MMTG,16.5636005402,-93.02249908450001,1499,-6,S,America/Mexico_City,airport,OurAirports
1789,1847,General Abelardo L. Rodríguez International Airport,Tijuana,Mexico,TIJ,MMTJ,32.541099548339844,-116.97000122070312,489,-8,S,America/Tijuana,airport,OurAirports
1790,1848,General Francisco Javier Mina International Airport,Tampico,Mexico,TAM,MMTM,22.2964000702,-97.86589813229999,80,-6,S,America/Mexico_City,airport,OurAirports
1792,1850,Licenciado Adolfo Lopez Mateos International Airport,Toluca,Mexico,TLC,MMTO,19.3370990753,-99.5660018921,8466,-6,S,America/Mexico_City,airport,OurAirports
1793,1851,Tapachula International Airport,Tapachula,Mexico,TAP,MMTP,14.794300079300001,-92.3700027466,97,-6,S,America/Mexico_City,airport,OurAirports
1794,1852,Cancún International Airport,Cancun,Mexico,CUN,MMUN,21.036500930800003,-86.8770980835,22,-5,S,America/Cancun,airport,OurAirports
1795,1853,Carlos Rovirosa Pérez International Airport,Villahermosa,Mexico,VSA,MMVA,17.996999740600586,-92.81739807128906,46,-6,S,America/Mexico_City,airport,OurAirports
1796,1854,General Heriberto Jara International Airport,Vera Cruz,Mexico,VER,MMVR,19.145900726300003,-96.1873016357,90,-6,S,America/Mexico_City,airport,OurAirports
1797,1855,General Leobardo C. Ruiz International Airport,Zacatecas,Mexico,ZCL,MMZC,22.8971004486,-102.68699646,7141,-6,S,America/Mexico_City,airport,OurAirports
1798,1856,Ixtapa Zihuatanejo International Airport,Zihuatanejo,Mexico,ZIH,MMZH,17.601600647,-101.460998535,26,-6,S,America/Mexico_City,airport,OurAirports
1800,1858,Playa De Oro International Airport,Manzanillo,Mexico,ZLO,MMZO,19.144800186199998,-104.558998108,30,-6,S,America/Mexico_City,airport,OurAirports
1805,1863,Augusto C. Sandino (Managua) International Airport,Managua,Nicaragua,MGA,MNMG,12.141500473022461,-86.16819763183594,194,-6,U,America/Managua,airport,OurAirports
1807,1865,Bocas Del Toro International Airport,Bocas Del Toro,Panama,BOC,MPBO,9.340849876403807,-82.25080108642578,10,-5,U,America/Panama,airport,OurAirports
1808,1866,Cap Manuel Niño International Airport,Changuinola,Panama,CHX,MPCH,9.458962,-82.515062,19,-5,U,America/Panama,airport,OurAirports
